1;N/A;Deliver Paw Pass Ticket;Village;;3;1;50;0z;12z;;N/A;0
2;N/A;Deliver Paw Pass Ticket;Village;;3;4;50;0z;12z;;N/A;0
3;N/A;Hunt Qurupeco;Village;;3;6;50;300z;1500z;;N/A;0
4;N/A;Hunt 10 Bullfango;Village;;3;6;50;150z;900z;;N/A;0
5;N/A;Hunt Barroth;Village;;3;2;50;350z;1500z;;N/A;0
6;N/A;Hunt Qurupeco;Village;;3;13;50;300z;1500z;;N/A;0
7;N/A;Hunt 8 Rhenoplos;Village;;3;13;50;150z;900z;;N/A;0
8;N/A;Deliver 5 Monster Guts;Village;;3;2;50;200z;1200z;;N/A;0
9;N/A;Hunt Great Wroggi;Village;;3;3;50;250z;1500z;;N/A;0
10;N/A;Hunt Royal Ludroth;Village;;3;3;50;350z;1500z;;N/A;0
11;N/A;Hunt 20 Bnahabra;Village;;3;3;50;150z;900z;;N/A;0
12;N/A;Hunt Great Jaggi;Village;;3;14;50;150z;900z;;N/A;0
13;N/A;Hunt Royal Ludroth;Village;;3;14;50;350z;1500z;;N/A;0
14;N/A;Hunt 10 Ludroth;Village;;3;1;50;150z;900z;;N/A;0
15;N/A;Deliver 15 Unique Mushrooms;Village;;3;1;50;150z;900z;;N/A;0
16;N/A;Hunt 2 Bulldrome;Village;;3;4;50;400z;2400z;;N/A;0
17;N/A;Hunt Lagombi;Village;;3;4;50;250z;1500z;;N/A;0
18;N/A;Hunt 10 Baggi;Village;;3;4;50;150z;900z;;N/A;0
19;N/A;Deliver 5 Anteka Antlers;Village;;3;15;50;150z;900z;;N/A;0
20;N/A;Deliver Paw Pass Ticket;Village;;4;5;50;0z;12z;;N/A;0
21;N/A;Hunt 1 Rathian;Village;;4;6;50;500z;3000z;;N/A;0
22;N/A;Hunt 1 Volvidon;Village;;4;2;50;400z;2400z;;N/A;0
23;N/A;Hunt 1 Nibelsnarf;Village;;4;2;50;450z;2700z;;N/A;0
24;N/A;Hunt 1 Rathian;Village;;4;13;50;500z;3000z;;N/A;0
25;N/A;Hunt Qurupeco;Village;;4;1;50;300z;1500z;;N/A;0
26;N/A;Hunt 2 Arzuros;Village;;4;14;50;400z;2400z;;N/A;0
27;N/A;Hunt Great Baggi;Village;;4;4;50;300z;1500z;;N/A;0
28;N/A;Hunt Gigginox;Village;;4;15;50;450z;2700z;;N/A;0
29;N/A;Hunt 2 Lagombi;Village;;4;15;50;500z;3000z;;N/A;0
30;N/A;Hunt 20 Baggi;Village;;4;4;50;200z;1200z;;N/A;0
31;N/A;Deliver 8 Bloodstones;Village;;4;4;50;200z;1200z;;N/A;0
32;N/A;Hunt Volvidon;Village;;4;5;50;400z;2400z;;N/A;0
33;N/A;Hunt 2 Great Wroggi;Village;;4;16;50;500z;3000z;;N/A;0
34;N/A;Hunt 8 Uroktor;Village;;4;5;50;200z;1200z;;N/A;0
35;N/A;Hunt 20 Wroggi;Village;;4;5;50;200z;1200z;;N/A;0
36;N/A;Deliver 15 coal;Village;;4;5;50;200z;1200z;;N/A;0
37;N/A;Hunt Zinogre;Village;;5;17;50;600z;3600z;;N/A;0
38;N/A;Hunt Nargacuga;Village;;5;17;50;550z;3300z;;N/A;0
39;N/A;Hunt Nargacuga;Village;;5;18;50;550z;3300z;;N/A;0
40;N/A;Hunt 2 Royal Ludroth;Village;;5;3;50;700z;4200z;;N/A;0
41;N/A;Hunt Rathalos;Village;;5;1;50;600z;3600z;;N/A;0
42;N/A;Hunt Zinogre;Village;;5;1;50;600z;3600z;;N/A;0
43;N/A;Hunt Barioth;Village;;5;4;50;550z;3300z;;N/A;0
44;N/A;Hunt 2 Great Baggi;Village;;5;15;50;600z;3600z;;N/A;0
45;N/A;Hunt Uragaan;Village;;5;5;50;600z;3600z;;N/A;0
46;N/A;Hunt Rathalos;Village;;5;16;50;600z;3600z;;N/A;0
47;N/A;Hunt 2 Volvidon;Village;;5;16;50;800z;4800z;;N/A;0
48;N/A;Hunt 15 Uroktor;Village;;5;5;50;350z;1500z;;N/A;0
49;N/A;Hunt 3 Rathian;Village;;5;1;50;600z;3600z;;N/A;0
50;N/A;Hunt Bulldrome, Great Baggi, Lagombi;Village;;5;4;50;700z;4200z;;N/A;0
51;N/A;Hunt Volvidon, Nibelsnarf;Village;;5;2;50;800z;4800z;;N/A;0
52;N/A;Hunt Great Wroggi, Royal Ludroth;Village;;5;3;50;600z;3600z;;N/A;0
53;N/A;Hunt Arzuros, Rathian;Village;;5;1;50;700z;4200z;;N/A;0
54;N/A;Hunt Duramboros;Village;;6;6;50;650z;3900z;;N/A;0
55;N/A;Hunt Diablos;Village;;6;2;50;700z;4200z;;N/A;0
56;N/A;Hunt Tigrex;Village;;6;13;50;700z;4200z;;N/A;0
57;N/A;Hunt Duramboros;Village;;6;18;50;650z;3900z;;N/A;0
58;N/A;Hunt Duramboros, Royal Ludroth;Village;;6;3;50;1000z;6000z;;N/A;0
59;N/A;Hunt Tigrex;Village;;6;4;50;700z;4200z;;N/A;0
60;N/A;Hunt 2 Barioth;Village;;6;15;50;1100z;6600z;;N/A;0
61;N/A;Hunt Tigrex, Gigginox;Village;;6;4;50;1150z;6900z;;N/A;0
62;N/A;Hunt Agnaktor;Village;;6;5;50;650z;3900z;;N/A;0
63;N/A;Hunt 2 Uragaan;Village;;6;16;50;1200z;7200z;;N/A;0
64;N/A;Hunt Rathalos, Rathian;Village;;6;1;50;1400z;8400z;;N/A;0
65;N/A;Hunt Nargacuga, Zinogre;Village;;6;6;50;1150z;6900z;;N/A;0
66;N/A;Hunt Barroth, Diablos;Village;;6;13;50;1050z;6300z;;N/A;0
67;N/A;Hunt Rathalos, Agnaktor;Village;;6;5;50;1250z;7500z;;N/A;0
68;N/A;Hunt Jhen Mohran;Village;;6;7;50;1500z;9000z;;N/A;0
69;N/A;Hunt Deviljho, Tigrex, Nargacuga;Village;;6;8;50;3500z;21000z;;N/A;0
70;N/A;Deliver 10 Unique Mushroom;Village;;1;6;50;0z;300z;;N/A;0
71;N/A;Deliver 3 Kelbi Horn;Village;;1;6;50;0z;300z;;N/A;0
72;N/A;Hunt 5 Jaggi;Village;;1;6;50;0z;300z;;N/A;0
73;N/A;Hunt 3 Bullfango;Village;;1;6;50;0z;300z;;N/A;0
74;N/A;Deliver 3 Royal Honey;Village;;1;6;50;0z;300z;;N/A;0
75;N/A;Deliver Paw Pass Ticket;Village;;2;6;50;0z;12z;;N/A;0
76;N/A;Deliver Paw Pass Ticket;Village;;2;2;50;0z;12z;;N/A;0
77;N/A;Deliver Paw Pass Ticket;Village;;2;3;50;0z;12z;;N/A;0
78;N/A;Hunt an Arzuros;Village;;2;6;50;200z;1200z;;N/A;0
79;N/A;Hunt a Bulldrome;Village;;2;17;50;200z;1200z;;N/A;0
80;N/A;Hunt a Great Jaggi;Village;;2;6;50;150z;900z;;N/A;0
81;N/A;Hunt 3 Jaggia;Village;;2;17;50;150z;900z;;N/A;0
82;N/A;Deliver 3 Gargwa Eggs;Village;;2;6;50;150z;900z;;N/A;0
83;N/A;Deliver 5 Ripened Mushroom;Village;;2;6;50;150z;900z;;N/A;0
84;N/A;Hunt a Great Jaggi;Village;;2;2;50;150z;900z;;N/A;0
85;N/A;Hunt 10 Jaggi;Village;;2;2;50;150z;900z;;N/A;0
86;N/A;Deliver 5 Crystal Bones;Village;;2;2;50;150z;900z;;N/A;0
87;N/A;Hunt a Bulldrome;Village;;2;3;50;200z;1200z;;N/A;0
88;N/A;Hunt an Arzuros;Village;;2;18;50;200z;1200z;;N/A;0
89;N/A;Hunt 5 Ludroths;Village;;2;3;50;150z;900z;;N/A;0
90;N/A;Hunt 10 Wroggi;Village;;2;18;50;150z;900z;;N/A;0
91;N/A;Deliver 5 Slagtoth Oil;Village;;2;3;50;150z;900z;;N/A;0
92;N/A;Hunt Arzuros;Guild;;1;6;50;;1800z;;N/A;0
93;N/A;Hunt Bulldrome;Guild;;1;6;50;;1800z;;N/A;0
94;N/A;Hunt Great Jaggi;Guild;;1;6;50;;1800z;;N/A;0
95;N/A;Collect 7 Royal Honey;Guild;;1;6;50;;900z;;N/A;0
96;N/A;Hunt 10 Jaggi;Guild;;1;2;50;;1200z;;N/A;0
97;N/A;Collect 5 Crystal Bone;Guild;;1;13;50;;900z;;N/A;0
98;N/A;Hunt Great Wroggi;Guild;;1;3;50;;1800z;;N/A;0
99;N/A;Hunt 10 Wroggi;Guild;;1;18;50;;1200z;;N/A;0
100;N/A;Collect 20 Special Mushroom;Guild;;1;3;50;;900z;;N/A;0
101;N/A;Slay 10 Bullfango;Guild;;2;17;50;;1200z;;N/A;0
102;N/A;Slay 3 Jaggia;Guild;;2;6;50;;1200z;;N/A;0
103;N/A;Hunt Barroth;Guild;;2;2;50;;2400z;;N/A;0
104;N/A;Hunt Nibelsnarf;Guild;;2;2;50;;3000z;;N/A;0
105;N/A;Hunt Qurupeco;Guild;;2;2;50;;2400z;;N/A;0
106;N/A;Hunt Volvidon;Guild;;2;13;50;;2400z;;N/A;0
107;N/A;Gather 5 Monster Livers;Guild;;2;2;50;;1200z;;N/A;0
108;N/A;Hunt Royal Ludroth;Guild;;2;1;50;;2400z;;N/A;0
109;N/A;Slay 10 Ludroth;Guild;;2;1;50;;1200z;;N/A;0
110;N/A;Hunt Gigginox;Guild;;2;4;50;;3000z;;N/A;0
111;N/A;Hunt Lagombi;Guild;;2;4;50;;2400z;;N/A;0
112;N/A;Gather 8 Bloodstones;Guild;;2;15;50;;900z;;N/A;0
113;N/A;Deliver Paw Pass Ticket;Guild;;3;6;50;;12z;;N/A;0
114;N/A;Deliver Paw Pass Ticket;Guild;;3;2;50;;12z;;N/A;0
115;N/A;Deliver Paw Pass Ticket;Guild;;3;3;50;;12z;;N/A;0
116;N/A;Hunt Great Jaggi;Guild;;3;17;50;;2400z;;N/A;0
117;N/A;Slay 20 Jaggi;Guild;;3;6;50;;1800z;;N/A;0
118;N/A;Deliver 20 Special Mushrooms;Guild;;3;6;50;;1800z;;N/A;0
119;N/A;Hunt Barroth (Key-Quest);Guild;;3;2;50;;4800z;;N/A;0
120;N/A;Hunt Great Jaggi;Guild;;3;2;50;;2400z;;N/A;0
121;N/A;Slay 8 Rhenoplos;Guild;;3;2;50;;1800z;;N/A;0
122;N/A;Deliver 10 Monster Liver;Guild;;3;13;50;;1800z;;N/A;0
123;N/A;Hunt Royal Ludroth (Key-Quest);Guild;;3;18;50;;4800z;;N/A;0
124;N/A;Hunt Great Wroggi;Guild;;3;18;50;;3600z;;N/A;0
125;N/A;Hunt Bulldrome;Guild;;3;3;50;;3000z;;N/A;0
126;N/A;Hunt 10 Ludroth;Guild;;3;3;50;;1800z;;N/A;0
127;N/A;Deliver 3 Golden Fish;Guild;;3;3;50;;1800z;;N/A;0
128;N/A;Hunt Qurupeco (Key-Quest);Guild;;3;1;50;;4200z;;N/A;0
129;N/A;Hunt Arzuros (Key-Quest);Guild;;3;1;50;;3000z;;N/A;0
130;N/A;Slay 8 Jaggia;Guild;;3;1;50;;1800z;;N/A;0
131;N/A;Slay 50 Bnahabra;Guild;;3;14;50;;1800z;;N/A;0
132;N/A;Deliver Paw Pass Ticket;Guild;;4;1;50;;12z;;N/A;0
133;N/A;Deliver Paw Pass Ticket;Guild;;4;4;50;;12z;;N/A;0
134;N/A;Deliver Paw Pass Ticket;Guild;;4;5;50;;12z;;N/A;0
135;N/A;Hunt Rathian;Guild;;4;17;50;;5400z;;N/A;0
136;N/A;Hunt Nargacuga (Key Quest);Guild;;4;6;50;;5400z;;N/A;0
137;N/A;Hunt Qurupeco;Guild;;4;17;50;;4200z;;N/A;0
138;N/A;Hunt 20 Bullfango;Guild;;4;6;50;;3000z;;N/A;0
139;N/A;Hunt Volvidon;Guild;;4;2;50;;4800z;;N/A;0
140;N/A;Hunt Nibelsnarf(Key Quest);Guild;;4;2;50;;5400z;;N/A;0
141;N/A;Deliver 10 Wyvern Bones;Guild;;4;13;50;;3000z;;N/A;0
142;N/A;Hunt Nargacuga;Guild;;4;3;50;;5400z;;N/A;0
143;N/A;Hunt Rathian (Key Quest);Guild;;4;1;50;;5400z;;N/A;0
144;N/A;Hunt Lagombi;Guild;;4;15;50;;3600z;;N/A;0
145;N/A;Hunt Great Baggi;Guild;;4;15;50;;4200z;;N/A;0
146;N/A;Hunt Gigginox;Guild;;4;4;50;;5400z;;N/A;0
147;N/A;Hunt Barioth (Key Quest);Guild;;4;15;50;;5400z;;N/A;0
148;N/A;Slay 20 Baggi;Guild;;4;4;50;;3000z;;N/A;0
149;N/A;Deliver 8 Bloodstones;Guild;;4;4;50;;3000z;;N/A;0
150;N/A;Deliver 5 Popo Tongue;Guild;;4;4;50;;3000z;;N/A;0
151;N/A;Hunt Volvidon;Guild;;4;16;50;;4800z;;N/A;0
152;N/A;Hunt Great Wroggi;Guild;;4;5;50;;3600z;;N/A;0
153;N/A;Hunt Uragaan (Key Quest);Guild;;4;16;50;;6000z;;N/A;0
154;N/A;Slay 15 Uroktor;Guild;;4;5;50;;3000z;;N/A;0
155;N/A;Deliver 20 Coal;Guild;;4;5;50;;3000z;;N/A;0
156;N/A;Hunt Zinogre;Guild;;5;6;50;;6000z;;N/A;0
157;N/A;Hunt Rathian and Duramboros;Guild;;5;17;50;;9000z;;N/A;0
158;N/A;Hunt Diablos (Key Quest);Guild;;5;13;50;;6600z;;N/A;0
159;N/A;Hunt Tigrex;Guild;;5;13;50;;6600z;;N/A;0
160;N/A;Hunt Qurupeco;Guild;;5;2;50;;4200z;;N/A;0
161;N/A;Hunt Diablos and Barroth;Guild;;5;2;50;;8400z;;N/A;0
162;N/A;Hunt Duramboros (Key Quest);Guild;;5;3;50;;6600z;;N/A;0
163;N/A;Hunt Two Nargacuga;Guild;;5;18;50;;8100z;;N/A;0
164;N/A;Hunt Zinogre;Guild;;5;14;50;;6000z;;N/A;0
165;N/A;Hunt Rathalos (Key Quest);Guild;;5;14;50;;6000z;;N/A;0
166;N/A;Hunt Rathalos and Rathian;Guild;;5;1;50;;8400z;;N/A;0
167;N/A;Hunt Tigrex (Key Quest);Guild;;5;15;50;;6600z;;N/A;0
168;N/A;Hunt Barioth and Gigginox;Guild;;5;4;50;;8100z;;N/A;0
169;N/A;Hunt Agnaktor (Key Quest);Guild;;5;16;50;;6600z;;N/A;0
170;N/A;Hunt Agnaktor and Uragaan;Guild;;5;5;50;;9000z;;N/A;0
171;N/A;Hunt as many Barroth as you like! (2 Minimum);Guild;;5;2;50;;4200z;;N/A;0
172;N/A;Hunt Arzuros, Bulldrome, Nargacuga;Guild;;5;6;50;;8400z;;N/A;0
173;N/A;Hunt Nibelsnarf and Tigrex;Guild;;5;2;50;;9000z;;N/A;0
174;N/A;Hunt Great Jaggi and Rathalos;Guild;;5;1;50;;6300z;;N/A;0
175;N/A;Hunt Great Wroggi and Uragaan;Guild;;5;5;50;;7200z;;N/A;0
176;N/A;Slay Arzuros, Great Baggi, Volvidon, and Bulldrome;Guild;;5;8;50;;8400z;;N/A;0
177;N/A;Repel Jhen Mohran;Guild;;5;7;50;;9600z;;N/A;0
178;N/A;Deliver Paw Pass;Guild;;6;17;50;;12z;;N/A;0
179;N/A;Deliver Paw Pass;Guild;;6;13;50;;12z;;N/A;0
180;N/A;Deliver Paw Pass;Guild;;6;18;50;;12z;;N/A;0
181;N/A;Deliver Paw Pass;Guild;;6;14;50;;12z;;N/A;0
182;N/A;Hunt 2 Arzuros (Key Quest);Guild;;6;6;50;;6480z;;N/A;0
183;N/A;Hunt 2 Bulldrome;Guild;;6;17;50;;6480z;;N/A;0
184;N/A;Slay 20 Jaggi;Guild;;6;17;50;;4800z;;N/A;0
185;N/A;Slay 50 Bnahabra;Guild;;6;6;50;;4800z;;N/A;0
186;N/A;Hunt 2 Great Jaggi (Key Quest);Guild;;6;13;50;;6480z;;N/A;0
187;N/A;Hunt Barroth (Key Quest);Guild;;6;2;50;;6600z;;N/A;0
188;N/A;Hunt 2 Barroth;Guild;;6;2;50;;7800z;;N/A;0
189;N/A;Hunt Bulldrome;Guild;;6;3;50;;5400z;;N/A;0
190;N/A;Hunt Arzuros;Guild;;6;3;50;;5400z;;N/A;0
191;N/A;Hunt 2 Great Wroggi;Guild;;6;18;50;;6480z;;N/A;0
192;N/A;Hunt Purple Ludroth;Guild;;6;3;50;;7200z;;N/A;0
193;N/A;Hunt Royal Ludroth and Purple Ludroth;Guild;;6;18;50;;7800z;;N/A;0
194;N/A;Slay 20 Wroggi;Guild;;6;3;50;;4800z;;N/A;0
195;N/A;Hunt Great Jaggi;Guild;;6;1;50;;5400z;;N/A;0
196;N/A;Hunt Royal Ludroth;Guild;;6;1;50;;6600z;;N/A;0
197;N/A;Hunt Purple Ludroth (Key Quest);Guild;;6;14;50;;7200z;;N/A;0
198;N/A;Slay 15 Ludroth;Guild;;6;14;50;;4800z;;N/A;0
199;N/A;Hunt Qurupeco (Key Quest);Guild;;6;14;50;;6000z;;N/A;0
200;N/A;Slay 20 Rhenoplos;Guild;;6;8;50;;4800z;;N/A;0
201;N/A;Deliver Paw Pass Ticket;Guild;;7;15;50;;12z;;N/A;0
202;N/A;Deliver Paw Pass Ticket;Guild;;7;16;50;;12z;;N/A;0
203;N/A;Hunt Nargacuga;Guild;;7;17;50;;9000z;;N/A;0
204;N/A;Hunt Rathian;Guild;;7;6;50;;8400z;;N/A;0
205;N/A;Hunt Volvidon;Guild;;7;13;50;;7200z;;N/A;0
206;N/A;Hunt Nibelsnarf;Guild;;7;13;50;;7800z;;N/A;0
207;N/A;Hunt 2 Nibelsnarf (Key Quest);Guild;;7;2;50;;11700z;;N/A;0
208;N/A;Hunt Sand Barioth (Key Quest);Guild;;7;2;50;;9600z;;N/A;0
209;N/A;Hunt Qurupeco;Guild;;7;2;50;;6000z;;N/A;0
210;N/A;Hunt Green Nargacuga (Key Quest);Guild;;7;18;50;;9600z;;N/A;0
211;N/A;Hunt Crimson Qurupeco;Guild;;7;3;50;;7200z;;N/A;0
212;N/A;Hunt Rathian;Guild;;7;14;50;;8400z;;N/A;0
213;N/A;Hunt Rathalos;Guild;;7;1;50;;9600z;;N/A;0
214;N/A;Hunt Green Nargacuga;Guild;;7;1;50;;9600z;;N/A;0
215;N/A;Slay 25 Jaggia;Guild;;7;14;50;;900z;;N/A;0
216;N/A;Hunt Great Baggi and Lagombi;Guild;;7;4;50;;9360z;;N/A;0
217;N/A;Hunt Gigginox;Guild;;7;4;50;;7800z;;N/A;0
218;N/A;Hunt Baleful Gigginox (Key Quest);Guild;;7;4;50;;8400z;;N/A;0
219;N/A;Hunt Gigginox and Baleful Gigginox;Guild;;7;15;50;;12000z;;N/A;0
220;N/A;Hunt Barioth;Guild;;7;4;50;;9000z;;N/A;0
221;N/A;Hunt Jade Barroth;Guild;;7;4;50;;7200z;;N/A;0
222;N/A;Hunt Barioth and Jade Barroth;Guild;;7;15;50;;12000z;;N/A;0
223;N/A;Slay 20 Baggi;Guild;;7;4;50;;6000z;;N/A;0
224;N/A;Hunt Volvidon and Great Wroggi;Guild;;7;5;50;;9900z;;N/A;0
225;N/A;Hunt Uragaan;Guild;;7;5;50;;9600z;;N/A;0
226;N/A;Hunt Rathalos (Key Quest);Guild;;7;5;50;;9600z;;N/A;0
227;N/A;Hunt Steel Uragaan (Key Quest);Guild;;7;16;50;;10200z;;N/A;0
228;N/A;Hunt Uragaan and Steel Uragaan;Guild;;7;5;50;;14400z;;N/A;0
229;N/A;Slay 15 Uroktor;Guild;;7;16;50;;6000z;;N/A;0
230;N/A;Slay 25 Jaggi;Guild;;7;8;50;;6000z;;N/A;0
231;N/A;Hunt 3 Nargacuga;Guild;;7;6;50;;10200z;;N/A;0
232;N/A;Hunt Royal Ludroth, 2 Arzuros and Green Nargacuga;Guild;;7;1;50;;13200z;;N/A;0
233;N/A;Hunt Barroth, 2 Volvidon and Sand Barioth;Guild;;7;1;50;;15300z;;N/A;0
234;N/A;Hunt Barioth, 2 Lagombi and Baleful Gigginox;Guild;;7;15;50;;14700z;;N/A;0
235;N/A;Hunt Steel Uragaan,Great Wroggi and Rathalos;Guild;;7;16;50;;15900z;;N/A;0
236;N/A;Hunt Two Zinogre;Guild;;8;17;50;;14400z;;N/A;0
237;N/A;Hunt Duramboros (Key Quest);Guild;;8;17;50;;10200z;;N/A;0
238;N/A;Hunt Nargacuga and Duramboros;Guild;;8;6;50;;14400z;;N/A;0
239;N/A;Hunt Gold Rathian;Guild;;8;6;50;;9600z;;N/A;0
240;N/A;Hunt Silver Rathalos;Guild;;8;6;50;;10800z;;N/A;0
241;N/A;Hunt Gold Rathian and Silver Rathalos;Guild;;8;17;50;;18000z;;N/A;0
242;N/A;Hunt Diablos;Guild;;8;2;50;;10800z;;N/A;0
243;N/A;Hunt Black Diablos (Key Quest);Guild;;8;13;50;;11400z;;N/A;0
244;N/A;Hunt Diablos and Black Diablos;Guild;;8;2;50;;16200z;;N/A;0
245;N/A;Hunt Tigrex and Brute Tigrex;Guild;;8;13;50;;16200z;;N/A;0
246;N/A;Hunt Black Diablos and Sand Barioth;Guild;;8;13;50;;15600z;;N/A;0
247;N/A;Hunt 2 Duramboros;Guild;;8;3;50;;15300z;;N/A;0
248;N/A;Hunt Nargacuga and Green Nargacuga;Guild;;8;18;50;;13800z;;N/A;0
249;N/A;Hunt Green Nargacuga and Purple Ludroth;Guild;;8;3;50;;12600z;;N/A;0
250;N/A;Hunt Rathalos and Rathian (Key Quest);Guild;;8;14;50;;15000z;;N/A;0
251;N/A;Hunt Deviljho;Guild;;8;14;50;;12000z;;N/A;0
252;N/A;Hunt Zinogre;Guild;;8;1;50;;9600z;;N/A;0
253;N/A;Hunt Tigrex;Guild;;8;4;50;;10800z;;N/A;0
254;N/A;Hunt Deviljho (Key Quest);Guild;;8;15;50;;12000z;;N/A;0
255;N/A;Hunt Glacial Agnaktor (Key Quest);Guild;;8;4;50;;10800z;;N/A;0
256;N/A;Hunt Baleful Gigginox and Glacial Agnaktor;Guild;;8;15;50;;14400z;;N/A;0
257;N/A;Hunt Agnaktor;Guild;;8;5;50;;10200z;;N/A;0
258;N/A;Hunt 2 Agnaktor;Guild;;8;16;50;;15300z;;N/A;0
259;N/A;Hunt Brute Tigrex (Key Quest);Guild;;8;5;50;;11400z;;N/A;0
260;N/A;Hunt Steel Uragaan and Brute Tigrex;Guild;;8;16;50;;16200z;;N/A;0
261;N/A;Hunt Crimson Qurupeco;Guild;;8;5;50;;7200z;;N/A;0
262;N/A;Hunt as many Qurupeco as you like! (2 Minimum);Guild;;8;17;50;;7200z;;N/A;0
263;N/A;Hunt Great Jaggi, Rathian, and Zinogre;Guild;;8;17;50;;14400z;;N/A;0
264;N/A;Hunt Great Baggi, Jade Barroth, and Glacial Agnaktor;Guild;;8;4;50;;15600z;;N/A;0
265;N/A;Hunt Nibelsnarf, Diablos, and Brute Tigrex;Guild;;8;2;50;;18000z;;N/A;0
266;N/A;Hunt Nargacuga, Purple Ludroth, and Duramboros;Guild;;8;18;50;;16800z;;N/A;0
267;N/A;Hunt Uragaan and Deviljho;Guild;;8;5;50;;18000z;;N/A;0
268;N/A;Hunt Gigginox, Tigrex, and Duramboros;Guild;;8;8;50;;19200z;;N/A;0
269;N/A;Hunt Purple Ludroth, Baleful Gigginox, Agnaktor, and Jade Barroth;Guild;;8;8;50;;20400z;;N/A;0
270;N/A;Hunt Black Diablos, Glacial Agnaktor, Brute Tigrex, and Zinogre;Guild;;8;8;50;;21600z;;N/A;0
271;N/A;Hunt Akantor;Guild;;8;9;50;;38400z;;N/A;0
272;N/A;Hunt Ukanlos;Guild;;8;10;50;;38400z;;N/A;0
273;N/A;Hunt Alatreon;Guild;;8;19;50;;38400z;;N/A;0
274;N/A;Hunt Jhen Mohran;Guild;;8;7;50;;24000z;;N/A;0
275;N/A;Hunt Amatsu;Guild;;8;11;50;;36000z;;N/A;0
;;;;;;;;;N/A;0;;
